examples,intents
Salve. Test terminato. Piu' o meno dopo quanto tempo riesco ad avere risposta del superamento o meno?,Data_correzione_test
Buongiorno vorrei sapere quanto tempo si impiega ad avere il risultato al test finale perché ho la scadenza per il completamento del corso a domani 17/04. Grazie mille.,Data_correzione_test
Buongiorno ho finito il corso la scorsa settimana e sono in attesa dell'esito del test. quando avrò la risposta? ,Data_correzione_test
Buonasera io ho concluso il corso espletato il quiz a domande aperte e vorrei sapere entro quanto tempo mi darete riscontro quindi l'esito del quiz. grazie Saluti,Data_correzione_test
scusate ho quasi finito il corso ho fatto l'ultimo test e mi dice stato del test in valutazione... quanto tempo devo aspettare? ,Data_correzione_test
se faccio l'esame oggi riesco ad avere l'attestato in giornata? Mi scusi se chiedo ma ho davvero urgenza,Data_correzione_test
Buon giorno Gentilmente sa indicarmi i tempi di valutazione del test finale? grazie,Data_correzione_test
Buonasera chiedevo quando sarà valutato il mio test finale. Grazie,Data_correzione_test
Salve gentilmente mi saprebbe dire quanto tempo viene normalmente impiegato per la valutazione del test finale a domande aperte? Grazie,Data_correzione_test
Ho terminato il test a domande aperte quando sarà possibile sapere il risultato? Grazie,Data_correzione_test
Buongiorno avrei una domanda relativa alle tempistiche del corso. Ho completato il primo modulo nella giornata di ieir è possibile sapere quando arriveranno le indicazioni per proseguire con il secondo?,Data_correzione_test
Buongiorno la correzione del test avverrà nella giornata odierna? Cordialmente ringrazio ,Data_correzione_test
Buongiorno chiedo cortesemente quando sarà disponibile l'esito del corso (domande aperte). Vi ringrazio molto . GA,Data_correzione_test
Buongiorno quando tempo richiede il risultato dell'esame finale? la correzioen intendo,Data_correzione_test
BUongiorno Sto aspettando l'esito del test,Data_correzione_test
Ho appena concluso l'ultimo test delle 4 domande aperte. Entro quanto saranno valutate le mie risposte?,Data_correzione_test
Buongiorno ho compilato il test di valutazione a domande aperte e volevo sapere le tempistiche della valutazione da parte vostra. Grazie per il riscontro ,Data_correzione_test
Buon pomeriggio Ci sono novità inerenti la valutazione ed il poter ripetere il test? Grazie e Saluti,Data_correzione_test
salve sto provando a fare un corso ma non parte ,Data_correzione_test
Buongiorno desideravo sapere se il test è completo e quando è possibile avere l'esito della valutazione in modo da scaricare l'attestato. grazie,Data_correzione_test
Buongiorno. Ho concluso il corso RLS settore commercio. Quali sono a grandi linee i tempi per la valutazione del test finale? Grazie ,Data_correzione_test
quanto tempo richiede la valutazione delle domande aperte? ,Data_correzione_test
Grazie sto attendendo l'esito del test finale a risposta aperta sa dirmi quando arriverà all'incirca? grazie,Data_correzione_test
Ciao buongiorno! Sai dirmi quanto tempo necessita per la valutazione del test finale?,Data_correzione_test
Quanto tempo per la correzione delle domande aperte?,Data_correzione_test
Salve volevo sapere se i risultati del test per l'abilitazione da steward fossero usciti,Data_correzione_test
buongiorno volevo sapere entro quanto tempo valutate il test finale del corso... ,Data_correzione_test
Buongiorno sono in attesa di una risposta al test finale a domande aperte: quando dovrebbe arrivare? grazie,Data_correzione_test
"Fatta parte ""domande aperte"" quanto tempo ci vuole per la valutazione? ",Data_correzione_test
Buongiorno avrei bisogno di sapere se riuscirò ad avere l'esito della prova finale per il giorno 2 maggio in quanto il pomeriggio dovrei iniziare il corso RSPP modulo B ,Data_correzione_test
buongiorno io avrei finito ieri il corso e inviato il test finale potrei avre risposta celere e la possibilità di scaricare l'attesto? putroppo ho una certa uergenza e se fosse possibile dovrei poter scaricare l'attesto entro oggi. grazie,Data_correzione_test
Salve volevo sapere quando sara' pronta la valutazione del corso finale?,Data_correzione_test
buongiorno volevo sapere riguardo al test in valutazione che ho effettuato circa una settimana fa se è stato processato.grazie mille ,Data_correzione_test
Sera il corso deve essere tassativamente fruito entro oggi? Oppure si può fare domani chiedo per esigenze strettamente personali.,Data_scadenza_corso
la ringrazio possibile sapere la nuova data scadenza? ,Data_scadenza_corso
Buongiorno comunico via chat perché magari la risposta è tempestiva. Sono Rossella e ho ricevuto l'invito al corso venerdì 6 aprile. Potrei sapere entro quanto sono tenuta a completarlo? Non ho ben capito se ci siano problemi nella lettura dei commenti,Data_scadenza_corso
Buongiorno la data di scadenza è il 30/04/2018. Me lo conferma? Cordiali saluti ,Data_scadenza_corso
se non sbaglio la scadenza è il 15 luglio giusto? ,Data_scadenza_corso
Buonasera chiedo se è possibile prorogare la scadenza del corso. ,Data_scadenza_corso
Buongiorno entro quando devo completare i corsi? Ho iniziato il tirocinio il giorno 2/05.,Data_scadenza_corso
scusi ma la scadenza è entro stasera?,Data_scadenza_corso
entro quando dovrò completarlo? ,Data_scadenza_corso
Sono Michele vorrei Non mi è chiaro quale sia l'effettiva data entro cui devo terminare la fruizione del corso base di sicurezza sul lavoro,Data_scadenza_corso
Mi può confermare la scadenza del corso preposti ?,Data_scadenza_corso
Buongiorno visto che il mio corso finisce domani potrò comunque completarlo domani? ,Data_scadenza_corso
Devo svolgere entrambi i corsi a cui risulto iscritta entro il 9 gennaio? ,Data_scadenza_corso
Salve bene grazie. Purtroppo non riesco a terminarlo oggi. Posso finorlo domani mattina giusto? ,Data_scadenza_corso
devo ultimarla entro oggi (oggi compreso) giusto?,Data_scadenza_corso
Buongiorno quando scade il corso? ,Data_scadenza_corso
"ho terminato il corso ma leggo ""attestato non concluso""""download non abilitato"". come faccio per avere l'attestato? grazie",Richiesta_attestato
"Buongiorno ho completato il corso (100%). La sezione ""Conclusion and final test"" rimane non disponibile non e applicabile? Come riesco a scaricare l'attestato per la conclusione? Grazie",Richiesta_attestato
Salve io ho eseguito il corso (completo di test superato) e compilato il questionario di gradimento. Per verbale e attestato devo aspettare vostra comunicazione o devo fare qualcosa io? Grazie.,Richiesta_attestato
potreste darmi una mano a scaricare l'attestato?,Richiesta_attestato
buongiorno mi può confermare che ho terminato il corso correttamente? Non so per quale motivo il sistema si blocca quando cerco di stampare il diploma ed il verbale di riepilogo del corso. Grazie ,Richiesta_attestato
"Buon pomeriggio ho appena completato il corso al 100% perchè non posso scaricare l'attestato? esce scritto ""Corso non ancora concluso"". Grazie",Richiesta_attestato
"Ho qualche problema tecnico: ho seguito tutto e portato a termine il questionario di autovaluzione ieri come percentuale di completamento ho ""100%"" ma sulla home c'è scritto ""Attestato CORSO NON ANCORA CONCLUSO Download attestato/verbale non abilitato""",Richiesta_attestato
Buonasera ho appena superato il test e completato il questionario di valutazione. Tra quanto sarà disponibile l'attestato?,Richiesta_attestato
